Designator,Mid X,Mid Y,Rotation,Layer
A1,0.0,7.6875,0.0,top
A2,19.4,-5.5,90.0,top
C1,-24.87944997708112,-1.0997792502512336,111.0,top
C2,13.0,27.0,90.0,top
C3,16.350004,-4.212498,270.0,top
C4,13.750001,-4.2125,270.0,top
C5,13.0,20.0,270.0,top
D1,-27.384294016336188,15.110767123066559,61.0,top
D2,1.27,-31.0,0.0,top
D3,27.39765453231892,14.904414970545188,298.0,top
F1,-22.299994826058136,-8.799993057479247,111.0,top
J1,-28.019015294753746,-10.145742905455545,291.0,top
Q1,-27.8,8.6,0.0,top
R1,-23.62,8.609999,270.0,top
R2,-20.92,8.61,90.0,top
R3,-23.68187,18.41514,151.0,top
R4,6.44,-31.0,270.0,top
R5,23.0,12.0,298.0,top
R6,18.0,-0.4,180.0,top
SW1,-17.1,23.3,0.0,top
